                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.31221,                0.23288,                0.88179,                 0.9311,                0.94665,                0.96022,                 0.9225,                0.28684,                0.29137,                 0.9499,              0.0001684,              0.0001684,              0.0001684
                     86,                0.31028,                0.23208,                0.88051,                0.93998,                0.94814,                0.96043,                0.92325,                0.28691,                0.28947,                0.95582,              0.0001585,              0.0001585,              0.0001585
                     87,                0.30831,                  0.228,                0.87992,                0.93502,                0.94841,                0.96271,                  0.926,                0.28836,                0.28983,                0.94821,              0.0001486,              0.0001486,              0.0001486
                     88,                0.30778,                0.22445,                0.87755,                0.92923,                0.95094,                0.96233,                0.92435,                0.28861,                0.29002,                0.94809,              0.0001387,              0.0001387,              0.0001387
                     89,                0.30496,                0.22334,                0.87556,                0.93993,                0.94008,                0.96297,                0.92496,                0.28555,                0.29167,                0.93795,              0.0001288,              0.0001288,              0.0001288
                     90,                0.30353,                0.22228,                0.87642,                0.93726,                0.94863,                0.96118,                0.92456,                0.28639,                0.28223,                0.94673,              0.0001189,              0.0001189,              0.0001189
                     91,                0.25351,                0.18196,                0.85414,                0.94025,                0.94326,                0.96034,                0.92373,                0.28713,                0.28664,                0.94582,               0.000109,               0.000109,               0.000109
                     92,                0.24085,                0.16991,                0.84588,                0.93344,                0.94643,                0.95917,                0.92175,                0.28823,                0.30313,                0.94791,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.23902,                0.16707,                0.84355,                0.93859,                0.94651,                0.95949,                 0.9229,                0.28611,                0.29586,                0.95018,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.23689,                 0.1638,                0.84164,                0.94034,                0.94277,                0.95869,                0.92344,                0.28805,                0.29896,                0.95355,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.23462,                0.15917,                0.83962,                0.94241,                0.94124,                0.95814,                   0.92,                0.28732,                0.29786,                0.94888,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.23102,                0.15582,                0.83846,                0.93945,                0.94503,                0.95784,                 0.9216,                0.28501,                0.30235,                   0.95,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.23016,                0.15495,                0.83748,                0.93805,                0.94559,                0.95771,                 0.9225,                 0.2837,                0.30183,                0.95723,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.23056,                0.15574,                0.83743,                0.93523,                0.94596,                0.95751,                 0.9233,                0.28244,                0.30502,                0.95489,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.22672,                0.15229,                 0.8361,                0.94025,                0.94166,                0.95689,                0.92168,                0.28379,                0.30751,                0.95407,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.22546,                 0.1519,                0.83647,                0.93659,                0.94514,                0.95694,                0.92125,                0.28472,                0.30631,                 0.9557,               1.99e-05,               1.99e-05,               1.99e-05
